NO OF CNTRS,Container Type,Port of Destination,Dispatch Qty,TRANSIT TIME AS PER  RFQ,SELECTION OF SH.LINE,Stuffing remarks,Act POL,Shipping line,Dev Cost,Country,Sector
1,20DV,Apapa,23,42,L3,STUFFED,ADANI,MAERSK,286,NIGERIA,AFRICA
1,20DV,Apapa,23,42,L3,STUFFED,ADANI,MAERSK,286,NIGERIA,AFRICA
1,20DV,Apapa,23,42,L3,STUFFED,ADANI,MAERSK,286,NIGERIA,AFRICA
1,20DV,Jebel Ali,23,7,L5,STUFFED,ADANI,BALAJI,137,UAE,REDSEA ME ISC
1,20DV,Jebel Ali,23,7,L5,STUFFED,ADANI,BALAJI,137,UAE,REDSEA ME ISC
1,20DV,Jebel Ali,23,7,L5,STUFFED,ADANI,BALAJI,137,UAE,REDSEA ME ISC
1,20DV,Jebel Ali,23,7,L5,STUFFED,ADANI,BALAJI,137,UAE,REDSEA ME ISC
1,20DV,Jebel Ali,23,7,L5,STUFFED,ADANI,BALAJI,137,UAE,REDSEA ME ISC
1,20DV,Jebel Ali,23,7,L5,STUFFED,ADANI,BALAJI,137,UAE,REDSEA ME ISC
1,20DV,Jebel Ali,23,7,L5,STUFFED,ADANI,BALAJI,137,UAE,REDSEA ME ISC
1,20DV,Jebel Ali,23,7,L5,STUFFED,ADANI,BALAJI,137,UAE,REDSEA ME ISC
1,20DV,Jebel Ali,23,7,L5,STUFFED,ADANI,BALAJI,137,UAE,REDSEA ME ISC
1,20DV,Jebel Ali,23,7,L5,STUFFED,ADANI,BALAJI,137,UAE,REDSEA ME ISC
1,20DV,Guayaquil,23,60,L3,STUFFED,ADANI,MAERSK,25,ECUADOR,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,313,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,313,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,313,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,313,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,313,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,313,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,313,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,313,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,313,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,313,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,313,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,313,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,313,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,313,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,313,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,313,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,313,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,313,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,313,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,313,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,313,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,313,PARAGUAY,SOUTH AMERICA
1,20DV,Cartagena,23.74,49,L2,STUFFED,ADANI,MAERSK,795,COLOMBIA,SOUTH AMERICA
1,20DV,Cartagena,,49,L2,NOT STUFFED,ADANI,MAERSK,795,COLOMBIA,SOUTH AMERICA
1,20DV,Cartagena,,49,L2,NOT STUFFED,ADANI,MAERSK,795,COLOMBIA,SOUTH AMERICA
1,20DV,Cartagena,,49,L2,NOT STUFFED,ADANI,MAERSK,795,COLOMBIA,SOUTH AMERICA
1,20DV,Apapa,,42,L3,NOT STUFFED,ADANI,MAERSK,286,NIGERIA,AFRICA
1,20DV,Apapa,,42,L3,NOT STUFFED,ADANI,MAERSK,286,NIGERIA,AFRICA
1,20DV,Apapa,,42,L3,NOT STUFFED,ADANI,MAERSK,286,NIGERIA,AFRICA
1,20DV,Apapa,,42,L3,NOT STUFFED,ADANI,MAERSK,286,NIGERIA,AFRICA
1,20DV,Apapa,,42,L3,NOT STUFFED,ADANI,MAERSK,286,NIGERIA,AFRICA
1,20DV,Guayaquil,,60,L3,NOT STUFFED,ADANI,MAERSK,25,ECUADOR,SOUTH AMERICA
1,20DV,Cartagena,,49,L2,NOT STUFFED,ADANI,MAERSK,795,COLOMBIA,SOUTH AMERICA
1,20DV,Cartagena,,49,L2,NOT STUFFED,ADANI,MAERSK,795,COLOMBIA,SOUTH AMERICA
1,20DV,Ashdod,,22,L3,NOT STUFFED,ADANI,MAERSK,258,ISRAEL,EUROPE
1,20DV,Asuncion,,49,L2,NOT STUFFED,ADANI,MSC,313,PARAGUAY,SOUTH AMERICA
1,20DV,Haifa,22,26,L4,STUFFED,NHAVASHEVA OTHERS,MAERSK,377,ISRAEL,EUROPE
1,20DV,Haifa,22,26,L4,STUFFED,NHAVASHEVA OTHERS,MAERSK,377,ISRAEL,EUROPE
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,263,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,263,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,263,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,263,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,263,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,263,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,263,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,263,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,263,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,263,PARAGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.755,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.765,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.755,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.825,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.815,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.875,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.925,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.795,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.955,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.965,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.995,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Guayaquil ,23,60,L2,STUFFED,ADANI,MAERSK,32,ECUADOR,SOUTH AMERICA
1,20DV,Guayaquil ,23,60,L2,STUFFED,ADANI,MAERSK,32,ECUADOR,SOUTH AMERICA
1,20DV,Guayaquil ,23,60,L2,STUFFED,ADANI,MAERSK,32,ECUADOR,SOUTH AMERICA
1,20DV,Guayaquil ,23,60,L2,STUFFED,ADANI,MAERSK,32,ECUADOR,SOUTH AMERICA
1,20DV,Guayaquil ,23,60,L2,STUFFED,ADANI,MAERSK,32,ECUADOR,SOUTH AMERICA
1,20DV,Guayaquil ,23,60,L2,STUFFED,ADANI,MAERSK,32,ECUADOR,SOUTH AMERICA
1,20DV,Guayaquil ,23,60,L2,STUFFED,ADANI,MAERSK,32,ECUADOR,SOUTH AMERICA
1,20DV,Guayaquil ,23,60,L2,STUFFED,ADANI,MAERSK,32,ECUADOR,SOUTH AMERICA
1,20DV,Guayaquil ,23,60,L2,STUFFED,ADANI,MAERSK,32,ECUADOR,SOUTH AMERICA
1,20DV,Guayaquil ,23,60,L2,STUFFED,ADANI,MAERSK,32,ECUADOR,SOUTH AMERICA
1,20DV,Guayaquil ,23,60,L2,STUFFED,ADANI,MAERSK,32,ECUADOR,SOUTH AMERICA
1,20DV,Guayaquil ,23,60,L2,STUFFED,ADANI,MAERSK,32,ECUADOR,SOUTH AMERICA
1,20DV,Guayaquil ,23,60,L2,STUFFED,ADANI,MAERSK,32,ECUADOR,SOUTH AMERICA
1,20DV,Guayaquil ,23,60,L2,STUFFED,ADANI,MAERSK,32,ECUADOR,SOUTH AMERICA
1,20DV,Guayaquil ,23,60,L2,STUFFED,ADANI,MAERSK,32,ECUADOR,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,263,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,263,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,263,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,263,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,263,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,263,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,263,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,263,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,263,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,263,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,263,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,263,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,263,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,263,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,263,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,263,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,263,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,263,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,263,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,263,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,263,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,263,PARAGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.885,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.945,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.885,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.825,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.555,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.865,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.925,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.885,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.805,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.815,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.905,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.795,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.795,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.685,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.895,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.765,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.835,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.895,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.725,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.795,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.875,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.715,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.715,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.715,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.825,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.825,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.815,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.805,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.865,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.645,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.765,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.765,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.815,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.775,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.835,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.775,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.725,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.795,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.705,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.705,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.815,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.765,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.815,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.805,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.705,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.815,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.735,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.745,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.925,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.875,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.855,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.815,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.835,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.705,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.725,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.685,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.745,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.705,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.785,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.925,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.845,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.855,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.835,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.835,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.895,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.835,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.715,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.865,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.835,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.725,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.645,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,263,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,263,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,263,PARAGUAY,SOUTH AMERICA
1,20DV,Asuncion,23,49,L2,STUFFED,ADANI,MSC,263,PARAGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.775,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.735,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.785,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.805,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.855,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.785,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
1,20DV,Montevideo,23.765,42,L2,STUFFED,ADANI,MSC,43,URUGUAY,SOUTH AMERICA
